id,timestamp,sentiment,vlog_uri,latitude,longitude
1,1732507200000,4,vlog_1_2024-11-25T10-40-00Z.mp4,25.0330,121.5654
2,1732525200000,2,vlog_2_2024-11-25T15-40-00Z.mp4,25.0478,121.5165
3,1732551600000,5,vlog_3_2024-11-25T23-00-00Z.mp4,25.0450,121.5435

#timestamp：這三個時間戳分別對應：
記錄 1：2025/11/25 早上 10:40 AM
記錄 2：2025/11/25 下午 03:40 PM
記錄 3：2025/11/25 晚上 11:00 PM

#時間跨度： (11:00 PM - 10:40 AM) = 12 小時 20 分鐘。 
符合 $T_{last}-T_{1st} > 12h$ 的要求。

#sentiment：情緒分數 (1-5)。

#vlog_uri：這裡填寫的是 Vlog 檔案在 data 資料夾內的名稱。

#latitude, longitude：虛擬的 GPS 座標。
